semester,department,course_id,course_title,units,section,mini,days,begin,end,teaching_location,delivery_mode,detail_url,description,prerequisites,corequisites,cross_listed,notes,special_permission_required,related_urls
Spring 2026,ARTS & ENTERTAINMENT MANAGEMENT,93721,Arts Management & Intellectual Property,3,A3,Y,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",In-person Expectation,https://enr-apps.as.cmu.edu,,,,,,,http://www.cmu.edu/; https://enr-apps.as.cmu.edu/ASOC/ASOC; https://enr-apps.as.cmu.edu/SOC/SOCServlet; https://enr-apps.as.cmu.edu/audit/audit; https://enr-apps.as.cmu.edu/commence/commence
Spring 2026,ARTS & ENTERTAINMENT MANAGEMENT,93807,Museum Operations,6,A3,Y,MW,03:30PM,04:50PM,"Pittsburgh, Pennsylvania",In-person Expectation,https://enr-apps.as.cmu.edu,,,,,,,http://www.cmu.edu/; https://enr-apps.as.cmu.edu/ASOC/ASOC; https://enr-apps.as.cmu.edu/SOC/SOCServlet; https://enr-apps.as.cmu.edu/audit/audit; https://enr-apps.as.cmu.edu/commence/commence
Spring 2026,ARTS & ENTERTAINMENT MANAGEMENT,93812,Presenting Performing Arts,6,A4,Y,T,06:30PM,09:20PM,"Pittsburgh, Pennsylvania",In-person Expectation,https://enr-apps.as.cmu.edu,,,,,,,http://www.cmu.edu/; https://enr-apps.as.cmu.edu/ASOC/ASOC; https://enr-apps.as.cmu.edu/SOC/SOCServlet; https://enr-apps.as.cmu.edu/audit/audit; https://enr-apps.as.cmu.edu/commence/commence
Spring 2026,ARTS & ENTERTAINMENT MANAGEMENT,93814,Galleries and Auction Houses,6,A4,Y,MW,03:30PM,04:50PM,"Pittsburgh, Pennsylvania",In-person Expectation,https://enr-apps.as.cmu.edu,,,,,,,http://www.cmu.edu/; https://enr-apps.as.cmu.edu/ASOC/ASOC; https://enr-apps.as.cmu.edu/SOC/SOCServlet; https://enr-apps.as.cmu.edu/audit/audit; https://enr-apps.as.cmu.edu/commence/commence
Spring 2026,ARTS & ENTERTAINMENT MANAGEMENT,93821,Marketing and Audience Engagement,12,A,,TR,02:00PM,03:20PM,"Pittsburgh, Pennsylvania",In-person Expectation,https://enr-apps.as.cmu.edu,,,,,,,http://www.cmu.edu/; https://enr-apps.as.cmu.edu/ASOC/ASOC; https://enr-apps.as.cmu.edu/SOC/SOCServlet; https://enr-apps.as.cmu.edu/audit/audit; https://enr-apps.as.cmu.edu/commence/commence
Spring 2026,ARTS & ENTERTAINMENT MANAGEMENT,93826,Fundraising & Individual Giving,6,A3,Y,M,06:30PM,09:20PM,"Pittsburgh, Pennsylvania",In-person Expectation,https://enr-apps.as.cmu.edu,,,,,,,http://www.cmu.edu/; https://enr-apps.as.cmu.edu/ASOC/ASOC; https://enr-apps.as.cmu.edu/SOC/SOCServlet; https://enr-apps.as.cmu.edu/audit/audit; https://enr-apps.as.cmu.edu/commence/commence
Spring 2026,ARTS & ENTERTAINMENT MANAGEMENT,93827,Fundraising & Institutional Giving,6,A4,Y,TR,03:30PM,04:50PM,"Pittsburgh, Pennsylvania",In-person Expectation,https://enr-apps.as.cmu.edu,,,,,,,http://www.cmu.edu/; https://enr-apps.as.cmu.edu/ASOC/ASOC; https://enr-apps.as.cmu.edu/SOC/SOCServlet; https://enr-apps.as.cmu.edu/audit/audit; https://enr-apps.as.cmu.edu/commence/commence
Spring 2026,ARTS & ENTERTAINMENT MANAGEMENT,93831,Law Fundamentals for Arts Managers,12,A3,Y,TR,05:00PM,06:20PM,"Pittsburgh, Pennsylvania",In-person Expectation,https://enr-apps.as.cmu.edu,,,,,,,http://www.cmu.edu/; https://enr-apps.as.cmu.edu/ASOC/ASOC; https://enr-apps.as.cmu.edu/SOC/SOCServlet; https://enr-apps.as.cmu.edu/audit/audit; https://enr-apps.as.cmu.edu/commence/commence
Spring 2026,ARTS & ENTERTAINMENT MANAGEMENT,93841,EIM Professional Seminar II,0,A3,Y,M,12:30PM,01:50PM,"Pittsburgh, Pennsylvania",In-person Expectation,https://enr-apps.as.cmu.edu,,,,,,,http://www.cmu.edu/; https://enr-apps.as.cmu.edu/ASOC/ASOC; https://enr-apps.as.cmu.edu/SOC/SOCServlet; https://enr-apps.as.cmu.edu/audit/audit; https://enr-apps.as.cmu.edu/commence/commence
Spring 2026,ARTS & ENTERTAINMENT MANAGEMENT,93844,Live Music: Touring and Revenue Streams,6,A3,Y,M,06:30PM,09:20PM,"Pittsburgh, Pennsylvania",In-person Expectation,https://enr-apps.as.cmu.edu,,,,,,,http://www.cmu.edu/; https://enr-apps.as.cmu.edu/ASOC/ASOC; https://enr-apps.as.cmu.edu/SOC/SOCServlet; https://enr-apps.as.cmu.edu/audit/audit; https://enr-apps.as.cmu.edu/commence/commence
Spring 2026,ARTS & ENTERTAINMENT MANAGEMENT,93846,Cultural Policy & Advocacy in the US,6,A3,Y,R,06:30PM,09:20PM,"Pittsburgh, Pennsylvania",In-person Expectation,https://enr-apps.as.cmu.edu,,,,,,,http://www.cmu.edu/; https://enr-apps.as.cmu.edu/ASOC/ASOC; https://enr-apps.as.cmu.edu/SOC/SOCServlet; https://enr-apps.as.cmu.edu/audit/audit; https://enr-apps.as.cmu.edu/commence/commence
